tweet_text,image_path,labels
nigga,dataset/images/0.jpg,"[4, 1, 3]"
my horses are retarded,dataset/images/1.jpg,"[5, 5, 5]"
nigga on ma momma youngboy be spitting real shit nigga,dataset/images/2.jpg,"[0, 0, 0]"
rt xxsugvngxx i ran into this holy nigga today,dataset/images/3.jpg,"[1, 0, 0]"
everybody calling you nigger now,dataset/images/4.jpg,"[1, 0, 1]"
real ass bitch give a fuck boutta nigga,dataset/images/5.jpg,"[0, 0, 0]"
fuck ice white supremacist trash all of you are racist garbage,dataset/images/6.jpg,"[5, 1, 1]"
days a cunt,dataset/images/7.jpg,"[0, 0, 0]"
sissy faggot,dataset/images/8.jpg,"[3, 3, 0]"
nigga what,dataset/images/9.jpg,"[4, 0, 3]"
so you turn to twitter for it instead of beating that nigga ass or contacting the police about it,dataset/images/10.jpg,"[0, 0, 0]"
i swear i was waiting for her to mouth the word nigger,dataset/images/11.jpg,"[0, 0, 0]"
im behind you nigga u my thug brother,dataset/images/12.jpg,"[0, 0, 0]"
who dafuqq is this nigga,dataset/images/13.jpg,"[0, 1, 1]"
bf move your bighead gf nigga what thats why your daddy left you in 08,dataset/images/14.jpg,"[2, 2, 1]"
this fat nigga slander is getting outta hand,dataset/images/15.jpg,"[3, 0, 0]"
ecofascist is just another nest for sjw,dataset/images/16.jpg,"[0, 0, 0]"
when a android nigga wanna talk about phone battery,dataset/images/17.jpg,"[0, 0, 0]"
check out this nigger,dataset/images/18.jpg,"[0, 0, 0]"
dat nigga my homie 3,dataset/images/19.jpg,"[0, 0, 0]"
imagine a nigga first time messaging you then says you off the team,dataset/images/20.jpg,"[0, 0, 0]"
phantom power music never surrender,dataset/images/21.jpg,"[0, 0, 0]"
nigga wya,dataset/images/22.jpg,"[1, 0, 0]"
carol really said fuck yall im a dyke and im here to save the universe,dataset/images/23.jpg,"[5, 0, 0]"
motivation from my favorite twat,dataset/images/24.jpg,"[0, 2, 0]"
mike was a twat cocky son of a b that always deleted his bad calls,dataset/images/25.jpg,"[5, 0, 0]"
and i said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29,dataset/images/26.jpg,"[0, 0, 0]"
ask a nigga to do it,dataset/images/27.jpg,"[0, 1, 0]"
pamilerin be like after seeing this me d muscular nigga,dataset/images/28.jpg,"[0, 1, 0]"
its definitely you nigga,dataset/images/29.jpg,"[0, 0, 0]"
lydia just called this man a cunt,dataset/images/30.jpg,"[0, 2, 0]"
and are the jack and ennis from brokeback faggot mountain yall,dataset/images/31.jpg,"[3, 1, 1]"
remember ruri dwarves are stubborn so never surrender shields up iron breaker,dataset/images/32.jpg,"[1, 0, 0]"
im really about to fight my cousin when i see this nigga,dataset/images/33.jpg,"[0, 0, 0]"
i fucked up my response was too faggot like i need to act more masc,dataset/images/34.jpg,"[0, 0, 3]"
netflix we coming for you nigga,dataset/images/35.jpg,"[0, 0, 0]"
the ice cream truck nigga was like,dataset/images/36.jpg,"[0, 0, 0]"
fuck u england u little twat,dataset/images/37.jpg,"[2, 2, 0]"
she nachos its just your turn nigga dumb niggas,dataset/images/38.jpg,"[0, 0, 0]"
nigga got them,dataset/images/39.jpg,"[0, 0, 0]"
fare play little cunt wont be doing that again,dataset/images/40.jpg,"[0, 0, 0]"
look at this nigga son,dataset/images/41.jpg,"[0, 0, 0]"
when youve just had enough of that cocky twat,dataset/images/42.jpg,"[0, 0, 0]"
some nigga how are you today me,dataset/images/43.jpg,"[0, 0, 0]"
shooky a nigga now yall mightve did sumn here,dataset/images/44.jpg,"[3, 1, 0]"
happy gday to my roun big 19 love ya 4life my nigga zhm tmg 228gfportmississippi,dataset/images/45.jpg,"[1, 3, 0]"
this nigga is the portuguese fat frank,dataset/images/46.jpg,"[1, 0, 0]"
the blame is thanos my nigger bonucci to kean maybe i dunno im not the king of racists,dataset/images/47.jpg,"[0, 0, 1]"
stfu nigga god damn,dataset/images/48.jpg,"[1, 2, 1]"
jeffery really said ill take a v card from a retard,dataset/images/49.jpg,"[0, 5, 0]"
